config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
RPG_p=20,BreastB.I,49,5,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,false,-35.724731,5,true,19.210,"7 13 18 10 11"
GRASP_POP_alpha=0.050000,BreastB.I,49,5,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,900,false,-35.724731,5,true,17.623,"7 13 11 18 10"
GRASP_alpha=0.050000,BreastB.I,49,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,false,-34.534918,6,true,22.370,"34 7 13 11 18 10"
GRASP_RW_BI_alpha=0.050000,BreastB.I,49,6,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,false,-34.534918,6,true,6.929,"34 7 13 11 18 10"
GRASP_FI_alpha=0.050000,BreastB.I,49,6,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,false,-34.534918,6,true,18.681,"13 7 11 18 10 34"
RPG_p=5,BreastB.I,49,6,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,false,-34.534918,6,true,42.594,"18 11 10 13 7 34"
RPG_p=10,BreastB.I,49,6,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,false,-34.534918,6,true,35.204,"13 34 18 7 11 10"
RPG_p=20,BreastB.I,49,6,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,false,-34.534918,6,true,27.992,"13 7 11 18 10 34"
GRASP_POP_alpha=0.050000,BreastB.I,49,6,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,900,false,-34.534918,6,true,27.063,"7 13 11 18 10 34"
GRASP_alpha=0.050000,Compound.I,399,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,false,-0.560750,3,true,728.681,"393 102 192"
GRASP_RW_BI_alpha=0.050000,Compound.I,399,3,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,false,-0.560750,3,true,196.157,"393 102 192"
