config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
GRASP_WLS_alpha=0.050000,gauss9.i,900,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.851466,3,true,10.024,"413 599 654"
GRASP_WLS_alpha=0.050000,gauss9.i,900,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.707906,4,true,10.130,"494 801 225 690"
GRASP_WLS_alpha=0.050000,gauss9.i,900,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.602555,5,true,10.038,"454 801 639 208 51"
GRASP_WLS_alpha=0.050000,gauss9.i,900,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.533731,6,true,10.174,"400 869 303 205 654 36"
GRASP_WLS_alpha=0.050000,glass.I,214,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-1.943404,3,true,4.321,"42 197 46"
GRASP_WLS_alpha=0.050000,glass.I,214,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.756405,4,true,10.001,"42 204 32 69"
GRASP_WLS_alpha=0.050000,glass.I,214,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.652270,5,true,10.003,"122 197 64 32 170"
GRASP_WLS_alpha=0.050000,glass.I,214,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.557539,6,true,10.003,"42 197 64 32 170 172"
GRASP_WLS_alpha=0.050000,haberman.i,306,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.134032,3,true,10.011,"80 164 242"
GRASP_WLS_alpha=0.050000,haberman.i,306,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.999555,4,true,10.008,"86 172 255 177"
GRASP_WLS_alpha=0.050000,haberman.i,306,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.897938,5,true,10.008,"225 67 242 177 57"
GRASP_WLS_alpha=0.050000,haberman.i,306,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.834966,6,true,10.018,"192 141 177 38 276 67"
GRASP_WLS_alpha=0.050000,hayes-roth.I,132,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-2.101925,3,true,1.674,"90 91 76"
GRASP_WLS_alpha=0.050000,hayes-roth.I,132,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-1.979201,4,true,2.549,"56 93 22 117"
GRASP_WLS_alpha=0.050000,hayes-roth.I,132,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-1.873743,5,true,3.853,"93 56 117 22 3"
GRASP_WLS_alpha=0.050000,hayes-roth.I,132,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-1.788952,6,true,5.697,"56 93 22 117 3 94"
