config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,time_to_solution_s,elements
RPG_p=20,200DATA.I,200,25,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.090020,25,true,3414,3414,98 28 20 108 135 120 47 117 37 95 99 126 17 180 65 7 154 68 109 75 18 52 150 186 167
GRASP_POP_alpha=0.050000,200DATA.I,200,25,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,true,-0.090437,25,true,10632,3599,75 154 120 65 28 78 98 99 47 18 167 128 180 150 186 137 112 7 100 52 117 37 20 17 95
GRASP_WLS_alpha=0.050000,200DATA.I,200,25,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.092576,25,true,10055,4360,30 160 128 52 55 41 149 98 89 75 187 17 169 137 117 63 20 154 120 109 43 13 95 37 104
GRASP_alpha=0.050000,400p3c.i,400,3,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.280307,3,true,58,58,343 237 102
GRASP_FI_alpha=0.050000,400p3c.i,400,3,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.280307,3,true,98,98,102 237 343
RPG_p=20,400p3c.i,400,3,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.280307,3,true,51,51,102 343 237
GRASP_POP_alpha=0.050000,400p3c.i,400,3,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.280307,3,true,76,76,102 237 343
GRASP_WLS_alpha=0.050000,400p3c.i,400,3,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.291644,3,true,10001,1733,168 381 237
GRASP_alpha=0.050000,400p3c.i,400,4,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.239133,4,true,118,118,102 343 282 250
GRASP_FI_alpha=0.050000,400p3c.i,400,4,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.239133,4,true,239,239,102 250 282 343
RPG_p=20,400p3c.i,400,4,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.239133,4,true,248,248,343 102 250 282
GRASP_POP_alpha=0.050000,400p3c.i,400,4,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.239133,4,true,141,141,102 282 250 343
GRASP_WLS_alpha=0.050000,400p3c.i,400,4,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.247616,4,true,10003,7144,77 334 289 275
GRASP_alpha=0.050000,400p3c.i,400,5,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.212919,5,true,1053,1053,175 343 151 250 282
GRASP_FI_alpha=0.050000,400p3c.i,400,5,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.212919,5,true,3574,3574,151 175 250 282 343
RPG_p=20,400p3c.i,400,5,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.212919,5,true,845,845,250 282 343 175 151
GRASP_POP_alpha=0.050000,400p3c.i,400,5,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.212919,5,true,1557,1557,282 250 343 175 151
GRASP_WLS_alpha=0.050000,400p3c.i,400,5,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.215499,5,true,10021,4911,135 319 293 111 240
GRASP_alpha=0.050000,400p3c.i,400,6,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.193213,6,true,1250,1250,343 93 282 250 141 74
GRASP_FI_alpha=0.050000,400p3c.i,400,6,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.193213,6,true,421,421,141 74 93 250 282 343
RPG_p=20,400p3c.i,400,6,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.193213,6,true,995,995,250 93 282 74 343 141
GRASP_POP_alpha=0.050000,400p3c.i,400,6,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.193213,6,true,1607,1607,343 282 250 141 74 93
GRASP_WLS_alpha=0.050000,400p3c.i,400,6,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.196541,6,true,10025,3847,120 344 293 100 282 137
GRASP_alpha=0.050000,400p3c.i,400,20,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.102348,20,true,11682,11682,234 389 159 346 108 285 124 94 313 265 191 233 293 398 252 281 83 99 176 165
GRASP_FI_alpha=0.050000,400p3c.i,400,20,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,true,-0.102387,20,true,10557,10557,95 247 196 338 191 83 99 108 120 124 159 233 265 235 276 281 313 315 358 132
RPG_p=20,400p3c.i,400,20,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,true,-0.102776,20,true,13227,13227,262 267 272 375 108 258 159 176 83 99 244 397 233 191 124 165 94 314 385 252
GRASP_POP_alpha=0.050000,400p3c.i,400,20,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,true,-0.102397,20,true,14338,14338,252 233 159 257 262 293 83 265 353 108 124 314 191 397 99 345 395 94 176 165
GRASP_WLS_alpha=0.050000,400p3c.i,400,20,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.106800,20,true,10156,5706,8 395 298 72 249 262 84 398 3 247 375 159 103 257 35 313 120 108 276 175
GRASP_alpha=0.050000,400p3c.i,400,25,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.089873,25,true,13711,13711,132 162 395 125 108 191 233 281 176 15 172 139 314 285 293 252 265 151 189 397 183 353 187 345 234
GRASP_FI_alpha=0.050000,400p3c.i,400,25,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,true,-0.089832,25,true,12193,12193,314 247 189 233 265 331 281 15 108 124 132 151 162 165 176 183 187 191 234 252 278 285 345 389 353
RPG_p=20,400p3c.i,400,25,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,true,-0.090220,25,true,17185,17185,99 176 124 132 346 38 15 191 109 323 183 83 187 196 281 353 233 293 285 252 314 265 372 367 234
GRASP_POP_alpha=0.050000,400p3c.i,400,25,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,true,-0.090045,25,true,21177,21177,257 15 108 262 124 265 233 191 176 252 314 189 271 353 162 187 345 165 151 331 251 132 367 372 183
GRASP_WLS_alpha=0.050000,400p3c.i,400,25,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.094012,25,true,10406,9549,175 324 267 151 243 105 253 118 320 113 314 124 244 189 378 198 273 191 233 258 8 353 203 107 15
GRASP_alpha=0.050000,BreastB.I,49,3,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-38.308347,3,true,1,1,13 11 7
GRASP_FI_alpha=0.050000,BreastB.I,49,3,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-38.308347,3,true,0,0,11 13 7
RPG_p=20,BreastB.I,49,3,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-38.308347,3,true,0,0,13 11 7
GRASP_POP_alpha=0.050000,BreastB.I,49,3,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-38.308347,3,true,0,0,13 7 11
GRASP_WLS_alpha=0.050000,BreastB.I,49,3,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-38.308347,3,true,833,3,7 13 11
GRASP_alpha=0.050000,BreastB.I,49,4,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-36.947697,4,true,1,1,13 7 11 18
