config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
GRASP_RW_BI_alpha=0.050000,400p3c.i,400,4,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,1000,900,false,-0.239133,4,true,28.553,"102 343 282 250"
GRASP_FI_alpha=0.050000,400p3c.i,400,4,0.0500,STANDARD,FIRST_IMPROVING,"",,,1000,900,false,-0.239133,4,true,227.612,"102 250 282 343"
RPG_p=5,400p3c.i,400,4,-1.0000,RPG,BEST_IMPROVING,"",,5,1000,900,false,-0.239133,4,true,149.744,"250 282 102 343"
RPG_p=10,400p3c.i,400,4,-1.0000,RPG,BEST_IMPROVING,"",,10,1000,900,false,-0.239133,4,true,146.485,"250 282 102 343"
RPG_p=20,400p3c.i,400,4,-1.0000,RPG,BEST_IMPROVING,"",,20,1000,900,false,-0.239133,4,true,154.329,"250 343 282 102"
GRASP_POP_alpha=0.050000,400p3c.i,400,4,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,1000,900,false,-0.239133,4,true,181.165,"250 102 282 343"
GRASP_alpha=0.050000,400p3c.i,400,5,0.0500,STANDARD,BEST_IMPROVING,"",,,1000,900,false,-0.212919,5,true,299.063,"250 343 175 282 151"
GRASP_RW_BI_alpha=0.050000,400p3c.i,400,5,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,1000,900,false,-0.212919,5,true,41.681,"175 343 282 151 250"
GRASP_FI_alpha=0.050000,400p3c.i,400,5,0.0500,STANDARD,FIRST_IMPROVING,"",,,1000,900,false,-0.212919,5,true,390.046,"175 151 250 282 343"
RPG_p=5,400p3c.i,400,5,-1.0000,RPG,BEST_IMPROVING,"",,5,1000,900,false,-0.212919,5,true,283.695,"250 343 282 151 175"
RPG_p=10,400p3c.i,400,5,-1.0000,RPG,BEST_IMPROVING,"",,10,1000,900,false,-0.212919,5,true,312.256,"250 343 282 151 175"
RPG_p=20,400p3c.i,400,5,-1.0000,RPG,BEST_IMPROVING,"",,20,1000,900,false,-0.212919,5,true,308.095,"250 282 343 175 151"
GRASP_POP_alpha=0.050000,400p3c.i,400,5,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,1000,900,false,-0.212919,5,true,381.876,"282 250 343 175 151"
GRASP_alpha=0.050000,400p3c.i,400,6,0.0500,STANDARD,BEST_IMPROVING,"",,,1000,900,false,-0.193213,6,true,496.430,"282 343 93 141 250 74"
GRASP_RW_BI_alpha=0.050000,400p3c.i,400,6,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,1000,900,false,-0.193213,6,true,50.408,"93 343 282 141 250 74"
GRASP_FI_alpha=0.050000,400p3c.i,400,6,0.0500,STANDARD,FIRST_IMPROVING,"",,,1000,900,false,-0.193213,6,true,474.242,"74 141 93 250 282 343"
RPG_p=5,400p3c.i,400,6,-1.0000,RPG,BEST_IMPROVING,"",,5,1000,900,false,-0.193213,6,true,477.974,"141 93 74 343 250 282"
RPG_p=10,400p3c.i,400,6,-1.0000,RPG,BEST_IMPROVING,"",,10,1000,900,false,-0.193213,6,true,476.139,"74 250 282 141 93 343"
RPG_p=20,400p3c.i,400,6,-1.0000,RPG,BEST_IMPROVING,"",,20,1000,900,false,-0.193213,6,true,470.838,"141 343 74 250 282 93"
GRASP_POP_alpha=0.050000,400p3c.i,400,6,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,1000,900,false,-0.193213,6,true,661.189,"343 282 250 141 74 93"
